# All infantry equipment

		ap_attack = 28
		air_attack = 7
		
		reliability = 0.8
		build_cost_ic = 3.25
		resources = {
			steel = 6
		}
	}

	infantry_equipment_13 = {
		archetype = infantry_equipment
		parent = infantry_equipment_12
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 94
		breakthrough = 15

		#Offensive Abilities
		soft_attack = 42
		hard_attack = 7
		ap_attack = 30
		air_attack = 7.5
		
		reliability = 0.8
		build_cost_ic = 3.5
		resources = {
			steel = 6
		}
	}

	infantry_equipment_14 = {
		archetype = infantry_equipment
		parent = infantry_equipment_13
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 100
		breakthrough = 16

		#Offensive Abilities
		soft_attack = 45
		hard_attack = 7.5
		ap_attack = 32
		air_attack = 8
		
		reliability = 0.8
		build_cost_ic = 3.75
		resources = {
			steel = 7
		}
	}

	infantry_equipment_15 = {
		archetype = infantry_equipment
		parent = infantry_equipment_14
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 106
		breakthrough = 17

		#Offensive Abilities
		soft_attack = 48
		hard_attack = 8
		ap_attack = 34
		air_attack = 8.5
		
		reliability = 0.85
		build_cost_ic = 4
		resources = {
			steel = 7
		}
	}
}
